text,label
"Cher client TMoney, mise a jour obligatoire de votre compte avant expiration. Cliquez sans delai: tmoney-update-secure.net",1
"Bonjour, je vous confirme notre reunion de demain a 10h en salle B pour discuter du projet PPE.",0
"Le professeur a reporte l'examen de reseau a la semaine prochaine, merci de vous organiser en consequence.",0
"Voici le rapport final du projet SentinelCrypt, n'hesite pas a le relire avant la soutenance.",0
"Salut, tu peux m'envoyer les slides de la presentation avant ce soir stp?",0
"Rappel: la formation Fortinet NSE4 commence a 8h30 dans la salle informatique 2.",0
"Merci pour votre paiement de 15000 FCFA recu ce jour, votre solde Mobile Money est de 42000 FCFA.",0
"Votre commande a ete expediee et arrivera sous 3 a 5 jours ouvrables, merci de votre achat.",0
"Bonsoir, le cours de demain matin est annule, on se retrouve directement pour le TP l'apres-midi.",0
"Ton compte a bien ete cree avec succes, tu peux maintenant te connecter avec ton email et mot de passe habituel.",0
"Voici le lien vers le drive partage du groupe pour le projet CloudSecure, tout le monde peut y deposer ses fichiers.",0
"Facture Ecobank de juin disponible dans votre espace client habituel, aucune action requise de votre part.",0
"On se voit ce soir a l'eglise pour la repetition, n'oublie pas ton clavier.",0
"Le directeur des etudes confirme que la soutenance JPOPE aura lieu vendredi a partir de 9h.",0
"Merci d'avoir participe au HackDCTF, voici le classement final de la competition.",0
"Ta commande Jumia a ete livree avec succes aujourd'hui a 14h32.",0
"Rappel amical: n'oublie pas de rendre ton rapport PPE301 avant vendredi soir.",0
"Salut, on peut se retrouver a la bibliotheque pour reviser ensemble le cours de reseaux?",0
"Votre reservation pour le vol de dimanche a ete confirmee, bon voyage!",0
"Merci pour votre visite, votre avis compte pour nous, repondez a ce sondage si vous le souhaitez.",0
"Le groupe WhatsApp de la classe a ete mis a jour avec les nouveaux horaires de cours.",0
"Cher client, votre transaction TMoney de 10000 FCFA vers Jean Dupont a ete effectuee avec succes.",0
"Votre colis en provenance de Chine est arrive au centre de tri. Payez les frais de douane ici pour le recevoir: http://dhl-livraison-togo.com",1
"EMS Togo: votre colis ne peut etre livre, adresse incomplete. Mettez a jour vos informations et payez 3000 FCFA de frais ici: ems-togo-colis.info",1
"Office Togolais des Recettes: vous avez un arriere d'impot de 45000 FCFA. Reglez immediatement pour eviter des poursuites: otr-togo-paiement.net",1
"Cher candidat, felicitations, vous etes retenu pour un poste chez Ecobank avec un salaire de 800000 FCFA/mois. Envoyez une caution de 50000 FCFA pour finaliser votre dossier.",1
"Offre d'emploi urgente: Total Togo recrute sans diplome, 600000 FCFA/mois. Postulez en envoyant vos coordonnees bancaires ici: total-togo-recrutement.buzz",1
"Votre compte Netflix a ete suspendu suite a un probleme de paiement. Mettez a jour vos informations de carte ici: netflix-facturation-verif.com",1
"Apple: votre identifiant Apple a ete verrouille pour activite suspecte. Confirmez votre mot de passe ici pour le debloquer: apple-id-securite.info",1
"URGENT - Facture impayee fournisseur: merci de virer 1200000 FCFA sur ce nouveau compte avant 17h pour eviter une penalite de retard.",1
"Le Directeur General demande un virement urgent et confidentiel de 2000000 FCFA vers ce compte, ne pas en parler avant validation.",1
"Vous avez ete sectionne pour recevoir une aide gouvernementale COVID de 100000 FCFA. Cliquez ici pour la reclamer: aide-etat-togo.xyz",1
"Instagram: votre compte sera supprime dans 24h pour violation des conditions. Verifiez votre identite ici pour eviter la suppression: instagram-verif-compte.tk",1
"Cher utilisateur Facebook, votre page a ete signalee. Confirmez vos informations ici sous peine de desactivation immediate: facebook-securite-compte.info",1
"Investissement crypto: doublez votre argent en 48h garanti, deposez maintenant sur ce portefeuille pour commencer: crypto-double-gain.win",1
"Banque: nous avons detecte une tentative de fraude sur votre carte bancaire. Confirmez vos coordonnees completes par retour de SMS immediatement.",1
"Google: votre compte a ete connecte depuis un pays etranger. Si ce n'etait pas vous, securisez-le immediatement ici: google-account-alert-verif.com",1
"Chers parents, l'ecole organise une collecte pour le voyage scolaire, merci d'envoyer 5000 FCFA a ce numero Flooz avant vendredi.",0
"Voici la facture du fournisseur pour le materiel informatique, montant 350000 FCFA, a regler sous 30 jours comme convenu au contrat.",0
"Ton colis Jumia arrive demain entre 14h et 17h, le livreur t'appellera avant.",0
"Rappel: entretien d'embauche confirme pour le poste de developpeur chez Ecobank, lundi 9h au siege.",0
"La reunion budgetaire de l'entreprise est reportee a jeudi 10h en salle de conference.",0
"Ton compte Netflix a ete mis a jour avec le nouveau moyen de paiement que tu as ajoute hier.",0
"Nouvelle connexion a votre compte Google depuis votre ordinateur portable habituel, tout est normal.",0
"Merci d'avoir postule chez Total Togo, nous reviendrons vers vous sous 2 semaines apres etude de votre dossier.",0
"L'Office Togolais des Recettes confirme la reception de votre declaration annuelle, aucun solde restant du.",0
"Ta commande Apple Store a ete confirmee, le produit sera livre sous 5 jours ouvrables.",0
"Cher client, votre demande de pret a ete approuvee, un conseiller vous contactera sous 48h pour la suite.",0
"Cher client, merci de votre fidelite. Votre releve mensuel Ecobank est disponible dans votre espace en ligne.",0
"Cher abonne Togocom, votre forfait a ete renouvele avec succes pour ce mois-ci.",0
